Pop,GBR-GRO v.s. RUS-LEV,,,,,GBR-GRO v.s. DEN-NOR,,,,,RUS-LEV v.s. FIN-HEL,,,,,RUS-LEV v.s. DEN-NOR,,,,,DEN-NOR v.s. FIN-HEL,,,,
Model,IM_NeC,SI_NeC,SC_NeC,AM_NeC,two_ep_NeC,IM_NeC,SI_NeC,SC_NeC,AM_NeC,two_ep_NeC,IM_NeC,SI_NeC,SC_NeC,AM_NeC,two_ep_NeC,IM_NeC,SI_NeC,SC_NeC,AM_NeC,two_ep_NeC,IM_NeC,SI_NeC,SC_NeC,AM_NeC,two_ep_NeC
logL,-100088,-149597,-105012,-85955,-85951,-62746,-133630,-64806,-54092,-35248,-118213,-196325,-118280,-118472,-94156,-56415,-127019,-98474,-54627,-54690,-43652,-179600,-62869,-38904,-34095
logL.sd,2,2,2,1,2,3,32,3,0,12,22,9,23,167,7,89,30,72,35,49,1,1,1,9,8
Nea1,15236,11518,13351,17817,17630,6369,161,4694,9915,7605,1164,1593,727,21582,24687,21056,15623,17311,21130,21095,30434,22147,28614,28383,28285
Nea1.sd,49,33,23,21,53,63,23,38,12,57,463,168,118,897,130,244,210,212,255,186,26,78,27,127,84
Neb1,615452,465114,450329,1527395,1388306,362597,302715,320310,730172,442075,11959,9954,12037,12417,12132,1049,1760,1472,1021,1033,28093,32059,28477,33502,31708
Neb1.sd,14364,3556,4626,37162,39149,2674,6586,984,3436,5319,78,83,74,126,34,46,92,77,36,19,44,100,52,113,138
Nea2,16565,11874,14521,20135,20095,16835,694,13547,24734,37197,384,397,247,8492,8947,37720,35768,37678,37818,37867,17893,9290,13749,18600,18392
Nea2.sd,79,68,45,17,60,130,98,111,15,215,145,5,48,208,39,359,223,232,237,178,11,25,18,61,71
Neb2,12240,12708,12527,11998,11989,31407,31735,31364,34196,28458,328621,1168652,323660,4875950,11797148,4028,6728,4538,3991,3927,5986852,465062,471078,6046106,6076579
Neb2.sd,44,39,20,17,20,53,241,47,22,49,4410,63256,5663,159263,3611376,337,450,284,150,124,16775,5428,4327,149920,35702
M12_1,7.79E-07,0,8.07E-07,3.78E-06,7.12E-09,2.14E-06,0,2.11E-06,2.14E-05,4.09E-09,1.32E-08,0,2.38E-08,3.97E-07,7.62E-09,1.96E-06,0,2.52E-06,2.09E-06,5.88E-08,7.52E-06,0,8.96E-06,1.37E-05,2.50E-06
M12_1.sd,2.45E-09,0,2.61E-09,1.24E-08,3.19E-10,5.62E-09,0,6.01E-09,3.32E-08,2.27E-09,3.80E-09,0,1.71E-08,7.01E-07,6.83E-09,1.03E-07,0,9.22E-07,4.17E-08,5.52E-08,1.69E-08,0,1.38E-08,3.55E-08,1.74E-07
M21_1,2.31E-07,0,1.80E-07,2.02E-06,7.37E-08,5.51E-06,0,5.50E-06,1.76E-05,6.43E-06,2.57E-05,0,2.54E-05,0.000141,1.93E-05,4.78E-06,0,6.85E-05,4.84E-06,8.98E-08,2.22E-06,0,2.43E-06,6.18E-06,1.10E-06
M21_1.sd,3.82E-09,0,9.15E-09,2.12E-08,1.73E-08,3.14E-08,0,4.17E-08,2.96E-08,3.09E-08,3.61E-07,0,2.50E-07,3.89E-06,1.44E-07,7.72E-08,0,3.24E-06,1.19E-07,5.79E-08,5.95E-09,0,7.25E-09,6.22E-08,4.28E-08
M12_2,0,0,0,0,3.80E-06,0,0,0,0,3.59E-05,0,0,0,0,4.81E-06,0,0,0,0,2.12E-06,0,0,0,0,1.26E-05
M12_2.sd,0,0,0,0,2.25E-08,0,0,0,0,3.17E-07,0,0,0,0,2.34E-07,0,0,0,0,8.30E-08,0,0,0,0,1.80E-07
M21_2,0,0,0,0,1.82E-06,0,0,0,0,5.00E-06,0,0,0,0,9.98E-05,0,0,0,0,4.85E-06,0,0,0,0,4.49E-06
M21_2.sd,0,0,0,0,5.93E-08,0,0,0,0,9.59E-08,0,0,0,0,7.68E-07,0,0,0,0,4.32E-08,0,0,0,0,1.16E-07
T1_year,51570,33094,42687,81656,80162,14420,280,10094,45493,542172,360,187,222,32923,221412,95295,47851,54781,96300,96591,53703,17365,32874,83659,70295
T1_year.sd,148,99,91,112,466,145,41,101,85,112157,136,0,40,3707,64512,2556,373,551,1952,2071,97,44,31,883,722
T2_year,13457,15149,14728,11844,11960,15808,17789,16745,13005,14609,13089,10544,13134,8418,8716,224,244,238,224,228,7414,10037,9443,7154,7367
T2_year.sd,39,28,45,12,29,37,37,37,5,60,76,40,77,111,25,1,1,1,1,10,12,20,15,17,24
Divergence,65027,48243,57415,93500,92123,30228,18069,26839,58498,556781,13449,10731,13356,41342,230129,95519,48095,55020,96524,96820,61117,27403,42317,90813,77663
Divergence.sd,134,79,95,110,452,114,76,92,85,112134,80,39,66,3610,64491,2555,372,551,1951,2076,90,32,35,892,701